t,r0_x,r0_y,r1_x,r1_y,rdot1_x,rdot1_y,rddot1_x,rddot1_y,r2_x,r2_y,rdot2_x,rdot2_y,rddot2_x,rddot2_y,r3_x,r3_y,rdot3_x,rdot3_y,rddot3_x,rddot3_y,r4_x,r4_y
0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,-9.81,14.0,0.0,0.0,0.0,0.0,-9.81,21.0,0.0,0.0,0.0,0.0,-9.81,28.0,0.0
0.01,0.0,0.0,6.999999999998682,-0.0004904999999999569,-7.981282874625937e-10,-0.09809999999996212,-4.009222380011061e-07,-9.809999999971906,14.0,-0.0004905,6.301828754936049e-17,-0.09810000000000006,-6.462348535570529e-27,-9.81,21.000000000001318,-0.0004904999999999569,7.981281424439599e-10,-0.09809999999996212,4.0092223800110584e-07,-9.809999999971906,28.0,0.0
0.02,0.0,0.0,6.999999987059356,-0.001961999742960057,-2.667663330208265e-07,-0.19619999240178243,-5.811841243430824e-06,-9.809999998286393,14.0,-0.0019619999999999993,-1.4108868856984456e-16,-0.19619999999999987,-3.6267285506381486e-14,-9.81,21.000000012940642,-0.001961999742960057,2.6676633335318345e-07,-0.19619999240178243,5.8118413159653965e-06,-9.809999998286393,28.0,0.0
0.03,0.0,0.0,6.999999960792931,-0.00441449917087838,-9.013857486095536e-07,-0.2942999775006133,-3.0649999034506615e-05,-9.809999980093869,14.0,-0.004414499999999997,-2.221921924160234e-16,-0.2942999999999995,-5.4400929159544736e-14,-9.81,21.000000039207066,-0.00441449917087838,9.013857492887184e-07,-0.2942999775006134,3.064999914330848e-05,-9.809999980093869,28.0,0.0
0.04,0.0,0.0,6.99999994249054,-0.007847998736957372,-1.7777554141826893e-06,-0.392399969846441,-9.996793705174279e-05,-9.809999886417232,14.0,-0.007847999999999997,-3.8715854950448948e-16,-0.3923999999999993,-2.117582368135751e-22,-9.81,21.00000005750946,-0.007847998736957372,1.777755415367118e-06,-0.392399969846441,9.99679370517428e-05,-9.809999886417232,28.0,0.0
0.05,0.0,0.0,6.999999933776321,-0.012262498671213864,-3.3511307677305353e-06,-0.4904999740699657,-0.00024752377901609564,-9.809999563684531,14.0,-0.012262499999999997,-7.994798041847601e-16,-0.49049999999999927,-3.626728667105179e-14,-9.81,21.000000066223677,-0.012262498671213864,3.3511307698203223e-06,-0.4904999740699657,0.00024752377910676373,-9.809999563684531,28.0,0.0
0.06,0.0,0.0,6.999999916181123,-0.017657998972481766,-6.66708968262866e-06,-0.5885999846314989,-0.0005157608642108936,-9.809998694022863,14.0,-0.017658000000000004,-1.542380885972451e-15,-0.5885999999999996,-3.62672873063265e-14,-9.81,21.000000083818875,-0.017657998972481766,6.667089686141315e-06,-0.588599984631499,0.000515760864301562,-9.809998694022863,28.0,0.0
0.07,0.0,0.0,6.999999851142503,-0.024034499408412072,-1.3361532467637886e-05,-0.6866999858209631,-0.0009558067817534736,-9.809996706311708,14.0,-0.024034500000000014,-2.6188196095492783e-15,-0.6867000000000002,-3.6267288153359447e-14,-9.81,21.000000148857495,-0.024034499408412072,1.336153247308412e-05,-0.6866999858209633,0.000955806781826008,-9.809996706311708,28.0,0.0
0.08,0.0,0.0,6.999999680004726,-0.03139199951547284,-2.5660681866904294e-05,-0.7847999517578921,-0.0016274716534692714,-9.809992668002595,14.0,-0.03139200000000001,-3.951486674763052e-15,-0.784800000000001,-1.8133649794152117e-14,-9.809999999999999,21.000000319995273,-0.03139199951547284,2.5660681874663797e-05,-0.7847999517578921,0.0016274716534874058,-9.809992668002595,28.0,0.0
0.09,0.0,0.0,6.999999324018767,-0.0397304985989492,-4.638108305995923e-05,-0.8828998463914302,-0.0025992453532972092,-9.809985157715875,14.0,-0.03973050000000002,-5.382805666627691e-15,-0.8829000000000016,-7.25345890122131e-14,-9.809999999999993,21.00000067598123,-0.0397304985989492,4.638108307015646e-05,-0.88289984639143,0.002599245353442279,-9.809985157715875,28.0,0.0
