t,r0_x,r0_y,r1_x,r1_y,rdot1_x,rdot1_y,rddot1_x,rddot1_y,r2_x,r2_y,rdot2_x,rdot2_y,rddot2_x,rddot2_y,r3_x,r3_y,rdot3_x,rdot3_y,rddot3_x,rddot3_y,r4_x,r4_y
0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,-9.81,12.0,0.0,0.0,0.0,0.0,-9.81,18.0,0.0,0.0,0.0,0.0,-9.81,24.0,0.0
0.01,0.0,0.0,5.999999999996046,-0.0004904999999998498,-2.393971105137951e-09,-0.09809999999986721,-1.2024767981336625e-06,-9.80999999990168,12.0,-0.0004905,-1.2702829634152855e-16,-0.09810000000000005,0.0,-9.81,18.000000000003954,-0.0004904999999998498,2.39397149406058e-09,-0.09809999999986721,1.2024767981336625e-06,-9.80999999990168,24.0,0.0
0.02,0.0,0.0,5.9999999634603896,-0.0019619991123825025,-8.108618059908593e-07,-0.19619997372773884,-1.4862448034972195e-05,-9.809999994423075,12.0,-0.0019619999999999772,4.724150873836026e-18,-0.19619999999999543,4.235164736271502e-22,-9.81,18.00000003653961,-0.0019619991123825025,8.108618057548701e-07,-0.19619997372773884,1.4862448034972195e-05,-9.809999994423075,24.0,0.0
0.03,0.0,0.0,5.999999889006405,-0.00441449713414334,-2.7924290929509154e-06,-0.2942999220654733,-8.411965739578521e-05,-9.809999933209196,12.0,-0.004414499999999924,-2.8301896084887493e-16,-0.2942999999999852,7.993606116114306e-14,-9.809999999999993,18.000000110993597,-0.00441449713414334,2.7924290929236308e-06,-0.2942999220654733,8.411965723591306e-05,-9.809999933209196,24.0,0.0
0.04,0.0,0.0,5.999999835611605,-0.007847995626660649,-5.587721594796042e-06,-0.39239989516995166,-0.0002882281910302445,-9.80999961009654,12.0,-0.007847999999999878,-6.2756657649325905e-16,-0.39239999999997754,3.996803058057153e-14,-9.809999999999986,18.000000164388396,-0.007847995626660649,5.587721595231541e-06,-0.39239989516995166,0.0002882281909902764,-9.80999961009654,24.0,0.0
0.05,0.0,0.0,5.999999805804336,-0.01226249538231463,-1.0516039812896697e-05,-0.49049990903169355,-0.0007285381787112378,-9.809998487237385,12.0,-0.012262499999999869,-7.645029220007672e-16,-0.49049999999997773,0.0,-9.809999999999983,18.000000194195664,-0.01226249538231463,1.0516039813580163e-05,-0.49049990903169355,0.000728538178711238,-9.809998487237385,24.0,0.0
0.06,0.0,0.0,5.99999974446071,-0.01765799639689496,-2.0599799654019295e-05,-0.5885999446077541,-0.0015283494745263902,-9.809995456945112,12.0,-0.0176579999999999,-5.410206363529413e-16,-0.5885999999999872,7.993606454927485e-14,-9.809999999999983,18.00000025553929,-0.01765799639689496,2.059979965445264e-05,-0.5885999446077541,0.0015283494744064855,-9.809995456945112,24.0,0.0
0.07,0.0,0.0,5.999999538804597,-0.024034497869600817,-4.0564532430326275e-05,-0.6866999478217249,-0.002832907676256696,-9.809988541234212,12.0,-0.02403449999999998,8.407922842858736e-17,-0.6867000000000045,-3.9968035662769213e-14,-9.809999999999981,18.000000461195402,-0.024034497869600817,4.0564532429913756e-05,-0.6866999478217248,0.0028329076763366316,-9.809988541234212,24.0,0.0
0.08,0.0,0.0,5.999999018407634,-0.031391998203040825,-7.683888485937583e-05,-0.7847998295637326,-0.004809397127421029,-9.809974529090063,12.0,-0.03139200000000007,1.0403872072820942e-15,-0.7848000000000245,-3.996804921529637e-14,-9.809999999999965,18.000000981592365,-0.031391998203040825,7.68388848576097e-05,-0.7847998295637325,0.004809397127580901,-9.809974529090063,24.0,0.0
0.09,0.0,0.0,5.999997955189218,-0.03973049500323314,-0.00013755461906412255,-0.8828994656904405,-0.007646929708704108,-9.809948551518692,12.0,-0.039730500000000175,2.145885422105772e-15,-0.882900000000039,-3.996808309661426e-14,-9.809999999999796,18.00000204481078,-0.03973049500323314,0.00013755461906076868,-0.8828994656904403,0.007646929708784046,-9.809948551518692,24.0,0.0
