t,r0_x,r0_y,r1_x,r1_y,rdot1_x,rdot1_y,rddot1_x,rddot1_y,r2_x,r2_y,rdot2_x,rdot2_y,rddot2_x,rddot2_y,r3_x,r3_y,rdot3_x,rdot3_y,rddot3_x,rddot3_y,r4_x,r4_y
0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,-9.81,10.0,0.0,0.0,0.0,0.0,-9.81,15.0,0.0,0.0,0.0,0.0,-9.81,20.0,0.0
0.01,0.0,0.0,4.999999999996046,-0.0004904999999998203,-2.3940875288714675e-09,-0.09809999999984073,-1.2025558326901809e-06,-9.80999999988201,10.0,-0.0004904999999999995,1.3083886038189967e-16,-0.09810000000000005,-2.5849394142282115e-26,-9.81,15.000000000003954,-0.0004904999999998203,2.394087490653923e-09,-0.09809999999984073,1.202555832690181e-06,-9.80999999988201,20.0,0.0
0.02,0.0,0.0,4.99999996284786,-0.0019619989311261948,-8.068401258348328e-07,-0.1961999683786662,-1.553198311208661e-05,-9.80999999317633,10.0,-0.001961999999999972,1.2708763325087493e-16,-0.19619999999999446,-2.7755576250903624e-14,-9.81,15.00000003715214,-0.0019619989311261948,8.068401258542522e-07,-0.1961999683786662,1.5531983139842185e-05,-9.80999999317633,20.0,0.0
0.03,0.0,0.0,4.999999887236596,-0.004414496549990269,-2.7645681110497804e-06,-0.2942999062502941,-8.616250598632184e-05,-9.809999918949249,10.0,-0.0044144999999999055,1.2708783351459797e-16,-0.294299999999982,8.470329472543003e-22,-9.809999999999993,15.000000112763404,-0.004414496549990269,2.764568111069193e-06,-0.2942999062502941,8.616250598632183e-05,-9.809999918949249,20.0,0.0
0.04,0.0,0.0,4.9999998334537405,-0.007847994737933616,-5.5125536610238515e-06,-0.39239987403101284,-0.0002912999325762084,-9.809999529705385,10.0,-0.007847999999999853,1.270879944491475e-16,-0.3923999999999729,1.6940658945086007e-21,-9.809999999999983,15.00000016654626,-0.007847994737933616,5.512553661043258e-06,-0.39239987403101284,0.0002912999325762084,-9.809999529705385,20.0,0.0
0.05,0.0,0.0,4.999999804653267,-0.012262494449659461,-1.0384067303479956e-05,-0.49049989096616703,-0.0007323058445389008,-9.809998180066287,10.0,-0.012262499999999841,1.2708801897812075e-16,-0.49049999999997296,0.0,-9.80999999999998,15.000000195346733,-0.012262494449659461,1.0384067303499361e-05,-0.49049989096616703,0.000732305844538901,-9.809998180066287,20.0,0.0
0.06,0.0,0.0,4.999999745628778,-0.017657995680013416,-2.0433083976916925e-05,-0.5885999340866145,-0.0015335725104379564,-9.809994539119522,10.0,-0.017657999999999882,1.2708786857352494e-16,-0.5885999999999844,2.7755577309694808e-14,-9.80999999999998,15.000000254371223,-0.017657995680013416,2.043308397693633e-05,-0.5885999340866145,0.0015335725103546895,-9.809994539119522,20.0,0.0
0.07,0.0,0.0,4.999999542813495,-0.024034497463983475,-4.043428303060952e-05,-0.6866999382087258,-0.002842517167258155,-9.809986226421945,10.0,-0.02403449999999998,1.270875632557775e-16,-0.6867000000000054,5.5511154619389616e-14,-9.809999999999977,15.000000457186506,-0.024034497463983475,4.0434283030628935e-05,-0.6866999382087258,0.0028425171671748878,-9.809986226421945,20.0,0.0
0.08,0.0,0.0,4.999999024280268,-0.03139199787670001,-7.688304822460839e-05,-0.7847997959343846,-0.004829571939041819,-9.809969371713716,10.0,-0.0313920000000001,1.2708718159370593e-16,-0.7848000000000295,-5.551117156004856e-14,-9.80999999999996,15.00000097571973,-0.03139199787670001,7.688304822462781e-05,-0.7847997959343846,0.004829571939152842,-9.809969371713715,20.0,0.0
0.09,0.0,0.0,4.999997959741572,-0.039730494033435766,-0.00013799546772974016,-0.8828993576509879,-0.007688167642988311,-9.809938098430376,10.0,-0.039730500000000224,1.2708686070454785e-16,-0.882900000000047,-1.3552527156068805e-20,-9.809999999999757,15.000002040258428,-0.039730494033435766,0.00013799546772975957,-0.8828993576509879,0.007688167642988311,-9.809938098430376,20.0,0.0
0.1,0.0,0.0,4.9999960605495035,-0.0490499820896059,-0.0002337083341276073,-0.9809984315314452,-0.011634709434314524,-9.809883931151619,10.0,-0.04905000000000029,1.2708679625395105e-16,-0.9810000000000434,2.7755629825737538e-14,-9.80999999999859,15.000003939450497,-0.0490499820896059,0.00023370833412762678,-0.9809984315314452,0.0116347094342035,-9.80988393115162,20.0,0.0
0.11,0.0,0.0,4.999992979695786,-0.059350457240767894,-0.0003756791444105882,-1.0790967835341791,-0.016908541941457526,-9.809795127193597,10.0,-0.059350500000000216,1.2708724245597337e-16,-1.0791000000000004,5.551120544136645e-14,-9.809999999993996,15.000007020304215,-0.059350457240767894,0.00037567914441060757,-1.0790967835341791,0.016908541941374255,-9.809795127193597,20.0,0.0
0.12,0.0,0.0,4.999987963953882,-0.07063185387188238,-0.0005777358379138614,-1.1771934248793092,-0.02373707666568016,-9.809656179161353,10.0,-0.07063199999532142,1.6589583199635773e-16,-1.1771999998487104,-5.5511368071692324e-14,-9.809999999964825,15.000012036046117,-0.07063185387188238,0.000577735837913794,-1.1771934248793092,0.023737076665763426,-9.809656179161353,20.0,0.0
