t,r0_x,r0_y,rdot0_x,rdot0_y,rddot0_x,rddot0_y,r1_x,r1_y,rdot1_x,rdot1_y,rddot1_x,rddot1_y,r2_x,r2_y,rdot2_x,rdot2_y,rddot2_x,rddot2_y,r3_x,r3_y,rdot3_x,rdot3_y,rddot3_x,rddot3_y,r4_x,r4_y,rdot4_x,rdot4_y,rddot4_x,rddot4_y,rLeft_x,rLeft_y,rRight_x,rRight_y
0.0,5.0,0.0,0.0,0.0,0.0,-9.81,10.0,0.0,0.0,0.0,0.0,-9.81,15.0,0.0,0.0,0.0,0.0,-9.81,20.0,0.0,0.0,0.0,0.0,-9.81,25.0,0.0,0.0,0.0,0.0,-9.81,0.0,0.0,30.0,0.0
0.01,4.999999999996046,-0.0004904999999998184,-2.3940827778628768e-09,-0.09809999999984062,-1.2025558326901809e-06,-9.80999999988201,10.0,-0.0004904999999999996,-2.8373778398136557e-13,-0.09809999999999987,-1.9770296511028111e-10,-9.81,15.0,-0.0004904999999999996,0.0,-0.09809999999999987,0.0,-9.81,20.0,-0.0004904999999999996,2.837412779031288e-13,-0.09809999999999987,1.977029651102811e-10,-9.81,25.000000000003954,-0.0004904999999998184,2.3940826690853688e-09,-0.09809999999984055,1.202555832690181e-06,-9.80999999988201,0.0,0.0,30.0,0.0
0.02,4.999999962838466,-0.001961998930993505,-8.091304343922889e-07,-0.19619996837557913,-1.560848158739941e-05,-9.809999993176513,9.99999999845124,-0.001961999999999987,8.766065797194471e-09,-0.1961999999999973,-1.7032007875194578e-06,-9.81,15.0,-0.001962000000000001,4.51616327673283e-16,-0.1962,0.0,-9.81,20.00000000154876,-0.001961999999999987,-8.766066465328048e-09,-0.1961999999999973,1.703200787519457e-06,-9.81,25.000000037161534,-0.001961998930993505,8.091304342590234e-07,-0.19619996837557913,1.560848158739941e-05,-9.809999993176513,0.0,0.0,30.0,0.0
0.03,4.9999998871993885,-0.004414496549357895,-2.7721916299594058e-06,-0.2942999062351122,-8.638340940220805e-05,-9.809999918950892,9.999999995507515,-0.004414499999999958,6.532559836988856e-08,-0.2942999999999911,-5.190782115780962e-06,-9.809999999999997,15.0,-0.004414500000000005,1.6143051007898463e-15,-0.2943,5.293955920339377e-23,-9.81,20.000000004492485,-0.004414499999999958,-6.532560094904536e-08,-0.2942999999999911,5.190782199047693e-06,-9.809999999999997,25.000000112800613,-0.0044144965493578955,2.7721916300591045e-06,-0.29429990623511215,8.638340923567458e-05,-9.809999918950892,0.0,0.0,30.0,0.0
0.04,4.99999983339188,-0.007847994736777702,-5.524327923916185e-06,-0.3923998740047702,-0.0002915691282562059,-9.80999952971024,9.999999994492363,-0.007847999999999931,1.8135284598583744e-07,-0.3923999999999864,-7.779642300913441e-06,-9.809999999999992,15.0,-0.007848000000000008,2.8134072251227146e-15,-0.39239999999999997,0.0,-9.81,20.000000005507637,-0.007847999999999931,-1.813528505185617e-07,-0.3923999999999864,7.77964235642459e-06,-9.809999999999992,25.00000016660812,-0.007847994736777704,5.524327924134423e-06,-0.39239987400477017,0.00029156912820069484,-9.80999952971024,0.0,0.0,30.0,0.0
0.05,4.999999804584238,-0.012262494448206077,-1.0396183274957336e-05,-0.49049989093681395,-0.0007324492060295228,-9.809998180074752,9.999999996994708,-0.012262499999999928,3.2341190316029593e-07,-0.4904999999999865,-9.470258891954037e-06,-9.80999999999999,15.0,-0.01226250000000001,3.5511527189235118e-15,-0.4905,8.326672700570542e-14,-9.81,20.000000003005294,-0.012262499999999928,-3.234119088542734e-07,-0.4904999999999865,9.470258697664997e-06,-9.80999999999999,25.000000195415762,-0.012262494448206077,1.0396183274999484e-05,-0.4904998909368137,0.0007324492061405452,-9.809998180074752,0.0,0.0,30.0,0.0
0.06,4.999999745576104,-0.01765799567862123,-2.0440789659247534e-05,-0.5885999340651648,-0.00153342636117551,-9.809994539128825,10.000000002817632,-0.017657999999999938,4.129700185933851e-07,-0.5885999999999922,-1.3002958066902988e-05,-9.80999999999999,15.0,-0.017658,3.5196206255916947e-15,-0.5885999999999999,-5.293955920339377e-23,-9.81,19.999999997182368,-0.017657999999999938,-4.129700241319113e-07,-0.5885999999999922,1.3002958011391837e-05,-9.80999999999999,25.000000254423895,-0.017657995678621235,2.0440789658699724e-05,-0.5885999340651642,0.001533426361286532,-9.809994539128823,0.0,0.0,30.0,0.0
0.07,4.999999542798464,-0.024034497463026477,-4.043356707042147e-05,-0.6866999382054053,-0.0028420167452866255,-9.80998622642556,10.000000009978372,-0.02403449999999998,3.2639759517009276e-07,-0.6867000000000025,-2.3857913966627145e-05,-9.809999999999988,15.0,-0.02403449999999999,2.6007390136745365e-15,-0.6866999999999999,2.117582368135751e-22,-9.81,19.999999990021628,-0.02403449999999998,-3.2639759902254107e-07,-0.6867000000000025,2.3857914022138303e-05,-9.809999999999988,25.000000457201537,-0.02403449746302648,4.043356706881166e-05,-0.6866999382054046,0.0028420167452033584,-9.80998622642556,0.0,0.0,30.0,0.0
0.08,4.999999024313646,-0.03139199787645017,-7.687232351958371e-05,-0.7847997959547794,-0.004828839860581919,-9.80996937170324,10.000000014708322,-0.031392000000000024,-1.0503181003972674e-07,-0.7848000000000145,-5.025514982831083e-05,-9.80999999999998,15.0,-0.031391999999999975,8.662849768671467e-16,-0.7847999999999996,-1.1102230161548271e-13,-9.81,19.999999985291677,-0.031392000000000024,1.0503180930743668e-07,-0.7848000000000145,5.025515007811107e-05,-9.80999999999998,25.000000975686355,-0.03139199787645017,7.687232351644258e-05,-0.7847997959547783,0.004828839860415383,-9.80996937170324,0.0,0.0,30.0,0.0
0.09,4.9999979598153255,-0.03973049403394574,-0.00013797725503530902,-0.882899357692192,-0.007687602367059743,-9.809938098401075,10.000000011453025,-0.03973050000000008,-1.0951414857813546e-06,-0.8829000000000231,-0.00010315453623184362,-9.809999999999878,15.0,-0.03973049999999997,-1.4221153659875359e-15,-0.8828999999999991,0.0,-9.81,19.999999988546975,-0.03973050000000008,1.095141489196288e-06,-0.8829000000000231,0.0001031545362873548,-9.809999999999878,25.000002040184675,-0.03973049403394574,0.000137977255030231,-0.8828993576921904,0.007687602367004234,-9.809938098401075,0.0,0.0,30.0,0.0
