t,r0_x,r0_y,rdot0_x,rdot0_y,rddot0_x,rddot0_y,r1_x,r1_y,rdot1_x,rdot1_y,rddot1_x,rddot1_y,r2_x,r2_y,rdot2_x,rdot2_y,rddot2_x,rddot2_y,r3_x,r3_y,rdot3_x,rdot3_y,rddot3_x,rddot3_y,r4_x,r4_y,rdot4_x,rdot4_y,rddot4_x,rddot4_y,rLeft_x,rLeft_y,rRight_x,rRight_y
0,7,0,0,0,0,-9.81,14,0,0,0,0,-9.81,21,0,0,0,0,-9.81,28,0,0,0,0,-9.81,35,0,0,0,0,-9.81,0,0,42,0
0.01,7,-0.0004905,-2.39E-09,-0.0981,-1.20E-06,-9.81,14,-0.0004905,-3.97E-13,-0.0981,-2.77E-10,-9.81,21,-0.0004905,7.52E-17,-0.0981,0,-9.81,28,-0.0004905,3.99E-13,-0.0981,2.77E-10,-9.81,35,-0.0004905,2.39E-09,-0.0981,1.20E-06,-9.81,0,0,42,0
0.02,6.999999964,-0.001961999,-8.20E-07,-0.196199978,-1.44E-05,-9.809999995,14,-0.001962,1.73E-08,-0.1962,-2.21E-06,-9.81,21,-0.001962,-1.76E-15,-0.1962,-1.09E-13,-9.81,28,-0.001962,-1.73E-08,-0.1962,2.21E-06,-9.81,35.00000004,-0.001961999,8.20E-07,-0.196199978,1.44E-05,-9.809999995,0,0,42,0
0.03,6.999999891,-0.004414498,-2.84E-06,-0.294299933,-8.26E-05,-9.809999943,13.99999999,-0.0044145,1.08E-07,-0.2943,-6.78E-06,-9.81,21,-0.0044145,-4.76E-15,-0.2943,-1.09E-13,-9.81,28.00000001,-0.0044145,-1.08E-07,-0.2943,6.78E-06,-9.81,35.00000011,-0.004414498,2.84E-06,-0.294299933,8.26E-05,-9.809999943,0,0,42,0
0.04,6.999999838,-0.007847996,-5.69E-06,-0.39239991,-0.000285765,-9.809999667,13.99999999,-0.007848,2.79E-07,-0.3924,-1.03E-05,-9.81,21,-0.007848,-7.44E-15,-0.3924,-2.18E-13,-9.81,28.00000001,-0.007848,-2.79E-07,-0.3924,1.03E-05,-9.81,35.00000016,-0.007847996,5.69E-06,-0.39239991,0.000285765,-9.809999667,0,0,42,0
0.05,6.999999807,-0.012262496,-1.07E-05,-0.490499922,-0.000725092,-9.809998707,14,-0.0122625,4.79E-07,-0.4905,-1.29E-05,-9.81,21,-0.0122625,-8.81E-15,-0.4905,-2.72E-13,-9.81,28,-0.0122625,-4.79E-07,-0.4905,1.29E-05,-9.81,35.00000019,-0.012262496,1.07E-05,-0.490499922,0.000725092,-9.809998707,0,0,42,0
0.06,6.999999743,-0.017657997,-2.08E-05,-0.588599952,-0.001522789,-9.809996113,14,-0.017658,5.94E-07,-0.5886,-1.85E-05,-9.81,21,-0.017658,-8.36E-15,-0.5886,0,-9.81,28,-0.017658,-5.94E-07,-0.5886,1.85E-05,-9.81,35.00000026,-0.017657997,2.08E-05,-0.588599952,0.001522789,-9.809996113,0,0,42,0
0.07,6.999999535,-0.024034498,-4.07E-05,-0.686699955,-0.002822153,-9.809990195,14.00000001,-0.0240345,4.55E-07,-0.6867,-3.45E-05,-9.81,21,-0.0240345,-6.03E-15,-0.6867,-1.09E-13,-9.81,27.99999999,-0.0240345,-4.55E-07,-0.6867,3.45E-05,-9.81,35.00000047,-0.024034498,4.07E-05,-0.686699955,0.002822153,-9.809990195,0,0,42,0
0.08,6.999999013,-0.031391998,-7.68E-05,-0.784799854,-0.004787542,-9.809978214,14.00000002,-0.031392,-1.71E-07,-0.7848,-7.20E-05,-9.81,21,-0.031392,-2.24E-15,-0.7848,-2.18E-13,-9.81,27.99999998,-0.031392,1.71E-07,-0.7848,7.20E-05,-9.81,35.00000099,-0.031391998,7.68E-05,-0.784799854,0.004787542,-9.809978214,0,0,42,0
0.09,6.999997951,-0.039730496,-0.000137073,-0.882899543,-0.007604368,-9.809956019,14.00000002,-0.0397305,-1.57E-06,-0.8829,-0.000145675,-9.81,21,-0.0397305,2.13E-15,-0.8829,-2.18E-13,-9.81,27.99999998,-0.0397305,1.57E-06,-0.8829,0.000145675,-9.81,35.00000205,-0.039730496,0.000137073,-0.882899543,0.007604368,-9.809956019,0,0,42,0
0.1,6.999996066,-0.049049987,-0.000231345,-0.980998887,-0.011479083,-9.80991764,13.99999999,-0.04905,-4.10E-06,-0.981,-0.000273936,-9.81,21,-0.04905,5.73E-15,-0.981,-2.72E-13,-9.81,28.00000001,-0.04905,4.10E-06,-0.981,0.000273936,-9.81,35.00000393,-0.049049987,0.000231345,-0.980998887,0.011479083,-9.80991764,0,0,42,0
0.11,6.99999302,-0.05935047,-0.000371022,-1.079097719,-0.016639162,-9.809854821,13.99999993,-0.0593505,-8.17E-06,-1.0791,-0.000478781,-9.81,21,-0.0593505,6.73E-15,-1.0791,-1.63E-13,-9.81,28.00000007,-0.0593505,8.17E-06,-1.0791,0.000478781,-9.81,35.00000698,-0.05935047,0.000371022,-1.079097719,0.016639162,-9.809854821,0,0,42,0
